,id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hour,lat,lng
129,130,SK에너지,삼육주유소,서울,노원구,서울 노원구 화랑로 822 (공릉동),1615,1545,0,1,0,0,0,0,37.63863790000000,127.10905970000000
130,131,S-OIL,남선석유(주)구도일주유소 불암,서울,노원구,서울 노원구 한글비석로 268 (중계동),1625,1555,0,1,0,0,0,0,37.65135130000000,127.07724010000000
131,132,SK에너지,SK에너지㈜직영 상계주유소,서울,노원구,서울 노원구 노해로 527 (상계동),1629,1559,1,1,0,0,0,0,37.65593910000000,127.06640630000000
132,133,S-OIL,한신주유소,서울,노원구,서울 노원구 동일로 1089 (공릉동),1630,1575,0,1,0,0,0,0,37.63047220000000,127.09099040000000
133,134,현대오일뱅크,상계동주유소,서울,노원구,서울 노원구 노원로26길 191 (상계동),1645,1575,1,0,0,1,0,0,37.65839380000000,127.07113750000000
134,135,GS칼텍스,성북역주유소,서울,노원구,서울 노원구 광운로 95 (월계동),1665,1595,1,1,0,0,0,0,37.62577100000000,127.05993650000000
135,136,S-OIL,신성주유소,서울,노원구,서울 노원구 월계로 328 (월계동),1688,1618,0,1,0,0,0,1,37.62877860000000,127.05733510000000
136,137,GS칼텍스,하계삼호주유소,서울,노원구,서울 노원구 공릉로 294 (하계동),1798,1690,1,0,0,1,0,0,37.63361710000000,127.07228550000000
137,138,현대오일뱅크,이케이에너지 주식회사,서울,도봉구,서울 도봉구 도봉로 941 (도봉동),1565,1495,0,1,0,0,0,0,37.68843050000000,127.04533740000000
138,139,S-OIL,한이에너지(주) 쌍문주유소,서울,도봉구,서울 도봉구 도봉로 547 (쌍문동),1575,1504,0,1,0,1,0,1,37.65335570000000,127.02710030000000
139,140,현대오일뱅크,(주)자연에너지 햇살주유소,서울,도봉구,서울 도봉구 방학로 142 (방학동),1575,1504,0,1,0,0,0,0,37.66300150000000,127.03633250000000
140,141,SK에너지,삼미북부셀프주유소,서울,도봉구,서울 도봉구 도봉로 437 (쌍문동),1575,1504,0,1,0,0,0,1,37.64982930000000,127.02001970000000
141,142,S-OIL,(주)헨지스에너지 구도일주유소 도봉,서울,도봉구,서울 도봉구 도봉로 706 (방학동),1575,1504,0,1,0,1,0,0,37.66686869999999,127.04353030000000
142,143,S-OIL,극동유화(주) 대안주유소,서울,도봉구,서울 도봉구 마들로 574 (창동),1579,1519,0,1,0,1,0,0,37.66151550000000,127.04752470000000
143,144,현대오일뱅크,(주)쌍문셀프주유소,서울,도봉구,서울 도봉구 노해로 161 (쌍문동),1585,1505,0,1,0,1,0,0,37.64902400000000,127.02688000000000
144,145,SK에너지,동일석유(주) 창동주유소,서울,도봉구,서울 도봉구  도봉로 434 (창동),1585,1525,0,1,0,1,0,0,37.64460740000000,127.03274860000000
145,146,GS칼텍스,지에스칼텍스㈜ 방학동주유소,서울,도봉구,서울 도봉구 방학로 186,1595,1524,0,1,0,0,0,0,37.66241080000000,127.03147580000000
146,147,GS칼텍스,지에스칼텍스㈜ 도봉주유소,서울,도봉구,서울 도봉구 도봉로 895 (도봉동),1595,1524,0,1,1,1,0,1,37.68439150000000,127.04565690000000
147,148,GS칼텍스,대성산업(주)신창주유소,서울,도봉구,서울 도봉구 덕릉로 267 (창동),1605,1525,0,1,0,1,0,1,37.64133540000000,127.04023600000000
148,149,현대오일뱅크,노원교주유소,서울,도봉구,서울 도봉구 마들로 776 (도봉동),1623,1543,0,1,0,0,0,0,37.67898300000000,127.04972240000000
149,150,S-OIL,오복주유소,서울,도봉구,서울 도봉구 방학로 43,1665,1630,0,1,0,0,0,1,37.66234100000000,127.04745420000000
150,151,현대오일뱅크,HD현대오일뱅크㈜직영 영신주유소,서울,도봉구,서울 도봉구 방학로 151,1677,1627,1,1,0,0,0,0,37.66237960000000,127.03544810000000
151,152,SK에너지,풍한주유소,서울,동대문구,서울 동대문구 안암로 168,1575,1515,1,1,0,0,0,1,37.58925310000000,127.03601220000000
152,153,SK에너지,동서울고속주유소,서울,동대문구,서울 동대문구 한천로 414,1577,1507,0,0,0,0,0,1,37.59754190000000,127.06803310000000
153,154,현대오일뱅크,재정주유소,서울,동대문구,서울 동대문구 전농로 121 (전농동),1595,1549,0,1,0,0,0,0,37.57570380000000,127.05743940000000
154,155,GS칼텍스,대성산업(주)동마장주유소,서울,동대문구,서울 동대문구 고산자로 405 (용두동),1595,1515,0,1,0,1,0,1,37.57569160000000,127.03775030000000
155,156,GS칼텍스,대성산업㈜청량리주유소,서울,동대문구,서울 동대문구 왕산로 289 (청량리동),1595,1515,0,1,1,0,0,1,37.58141770000000,127.04507240000000
156,157,현대오일뱅크,재정제2주유소,서울,동대문구,서울 동대문구 사가정로 90 (전농동),1595,1549,0,1,0,0,0,0,37.57586980000000,127.05564930000000
157,158,GS칼텍스,(주)파랑에너지,서울,동대문구,서울 동대문구 망우로 126,1599,1529,0,1,0,0,0,0,37.59123120000000,127.06705400000000
158,159,S-OIL,(주)경동주유소,서울,동대문구,서울 동대문구 이문로 191 (이문동),1605,1535,0,1,0,0,0,0,37.60359600000000,127.06178550000000
159,160,S-OIL,홍능주유소,서울,동대문구,서울 동대문구 홍릉로 87 (청량리동),1617,1577,1,1,0,0,0,0,37.58793800000000,127.04266120000000
160,161,SK에너지,삼영주유소,서울,동대문구,서울 동대문구 답십리로 258 (장안동),1627,1547,1,1,0,0,0,0,37.57230640000000,127.06882240000000
161,162,SK에너지,삼미상사(주)장안킹셀프주유소,서울,동대문구,서울 동대문구  한천로 100 (장안동),1635,1577,0,1,0,0,0,0,37.57903520000000,127.06964520000000
162,163,SK에너지,(주)안국에너지 삼원셀프주유소,서울,동대문구,서울 동대문구 망우로 90 (휘경동),1638,1578,0,1,0,0,0,0,37.59018270000000,127.06326630000000
163,164,현대오일뱅크,HD현대오일뱅크㈜직영 스피드주유소,서울,동대문구,서울 동대문구 천호대로 453 (장안동),1659,1619,1,1,0,0,0,1,37.56320590000000,127.06963160000000
164,165,현대오일뱅크,배봉로주유소,서울,동대문구,서울 동대문구 서울시립대로 108,1695,1595,0,1,0,0,0,0,37.58001510000000,127.05104960000000
165,166,현대오일뱅크,창원이엔지주유소,서울,동작구,서울 동작구 사당로 59 (상도동),1649,1579,0,1,0,0,0,0,37.49486740000000,126.96133870000000
166,167,S-OIL,매일주유소,서울,동작구,서울 동작구 상도로 139 (상도동),1659,1639,0,1,0,0,0,0,37.50273480000000,126.93508380000000
167,168,현대오일뱅크,HD현대오일뱅크㈜직영 사당셀프주유소,서울,동작구,서울 동작구 동작대로 73 (사당동),1669,1624,0,1,0,0,0,1,37.48310820000000,126.98153970000000
168,169,현대오일뱅크,HD현대오일뱅크㈜직영 신대방셀프주유소,서울,동작구,서울 동작구 시흥대로 616 (신대방동),1669,1594,0,1,0,1,0,1,37.48712039999999,126.90564440000000
169,170,GS칼텍스,지에스칼텍스㈜직영 남성주유소,서울,동작구,서울 동작구 동작대로 135 (사당동),1679,1649,0,0,0,0,0,1,37.48868150000000,126.98196610000000
170,171,현대오일뱅크,HD현대오일뱅크㈜직영 흑석동셀프주유소,서울,동작구,서울 동작구 현충로 101 (흑석동),1679,1649,0,1,0,0,0,1,37.50801320000000,126.96526930000000
171,172,현대오일뱅크,HD현대오일뱅크㈜직영 동작주유소,서울,동작구,서울 동작구 상도로 403 (상도동),1699,1649,1,1,0,0,0,0,37.49347390000000,126.95652210000000
172,173,현대오일뱅크,성산대교셀프주유소,서울,마포구,서울 마포구 성산로 144,1612,1572,0,1,0,1,0,0,37.56429850000000,126.90934740000000
173,174,현대오일뱅크,청원주유소,서울,마포구,서울 마포구 월드컵북로 113 (성산동),1612,1572,0,1,0,0,0,0,37.56280180000000,126.91508320000000
